,Fecha,Cantidad,Unidades_Acumuladas
0,2024-01-31,28,28
1,2024-02-01,27,55
2,2024-02-02,30,85
3,2024-02-03,21,106
4,2024-02-04,13,119
5,2024-02-05,32,151
6,2024-02-06,31,182
7,2024-02-07,31,213
8,2024-02-08,13,226
9,2024-02-09,28,254
10,2024-02-10,19,273
11,2024-02-11,41,314
12,2024-02-12,24,338
13,2024-02-13,38,376
14,2024-02-14,28,404
15,2024-02-15,34,438
16,2024-02-16,34,472
17,2024-02-17,49,521
18,2024-02-18,47,568
19,2024-02-19,29,597
20,2024-02-20,34,631
21,2024-02-21,23,654
22,2024-02-22,32,686
23,2024-02-23,15,701
24,2024-02-24,25,726
25,2024-02-25,14,740
26,2024-02-26,17,757
27,2024-02-27,24,781
28,2024-02-28,39,820
29,2024-02-29,35,855
30,2024-03-01,25,880
31,2024-03-02,19,899
32,2024-03-03,54,953
33,2024-03-04,25,978
34,2024-03-05,26,1004
35,2024-03-06,22,1026
36,2024-03-07,44,1070
37,2024-03-08,31,1101
38,2024-03-09,26,1127
39,2024-03-10,30,1157
40,2024-03-11,15,1172
41,2024-03-12,42,1214
42,2024-03-13,39,1253
43,2024-03-14,35,1288
44,2024-03-15,39,1327
45,2024-03-16,55,1382
46,2024-03-17,46,1428
47,2024-03-18,25,1453
48,2024-03-19,30,1483
49,2024-03-20,44,1527
50,2024-03-21,21,1548
51,2024-03-22,39,1587
52,2024-03-23,30,1617
53,2024-03-24,18,1635
54,2024-03-25,27,1662
55,2024-03-26,46,1708
56,2024-03-27,43,1751
57,2024-03-28,34,1785
58,2024-03-29,33,1818
59,2024-03-30,18,1836
60,2024-03-31,37,1873
61,2024-04-01,18,1891
62,2024-04-02,32,1923
63,2024-04-03,47,1970
64,2024-04-04,33,2003
65,2024-04-05,25,2028
66,2024-04-06,9,2037
67,2024-04-07,26,2063
68,2024-04-08,19,2082
69,2024-04-09,22,2104
70,2024-04-10,34,2138
71,2024-04-11,19,2157
72,2024-04-12,51,2208
73,2024-04-13,27,2235
74,2024-04-14,28,2263
75,2024-04-15,44,2307
76,2024-04-16,33,2340
77,2024-04-17,10,2350
78,2024-04-18,36,2386
79,2024-04-19,16,2402
80,2024-04-20,34,2436
81,2024-04-21,37,2473
82,2024-04-22,27,2500
83,2024-04-23,17,2517
84,2024-04-24,27,2544
85,2024-04-25,47,2591
86,2024-04-26,29,2620
87,2024-04-27,36,2656
88,2024-04-28,32,2688
89,2024-04-29,49,2737
90,2024-04-30,30,2767
91,2024-05-01,37,2804
92,2024-05-02,28,2832
93,2024-05-03,39,2871
94,2024-05-04,34,2905
95,2024-05-05,24,2929
96,2024-05-06,26,2955
97,2024-05-07,33,2988
98,2024-05-08,29,3017
99,2024-05-09,25,3042
100,2024-05-10,44,3086
101,2024-05-11,41,3127
102,2024-05-12,31,3158
103,2024-05-13,31,3189
104,2024-05-14,37,3226
105,2024-05-15,19,3245
106,2024-05-16,31,3276
107,2024-05-17,22,3298
108,2024-05-18,17,3315
109,2024-05-19,18,3333
110,2024-05-20,29,3362
111,2024-05-21,30,3392
112,2024-05-22,21,3413
113,2024-05-23,40,3453
114,2024-05-24,44,3497
115,2024-05-25,36,3533
116,2024-05-26,31,3564
117,2024-05-27,25,3589
118,2024-05-28,24,3613
119,2024-05-29,33,3646
120,2024-05-30,33,3679
121,2024-05-31,35,3714
122,2024-06-01,60,3774
123,2024-06-02,65,3839
