ID_Producto,Nombre_producto,Categoría,Precio_Unitario,Stock,Unidades_Vendidas,Venta_Total,Transacciones,%_Unidades,%_Venta,Cancelada,Completa,Pendiente
6,Asado,Carnicería,28.56,5137,299,8539.439999999999,81,2.8637103725696775,8.282420747602474,0,71,10
8,Milanesa,Carnicería,16.21,3140,320,5187.200000000001,89,3.0648405325160426,5.031076148080386,0,76,13
25,Pizza congelada,Congelados,15.45,1640,332,5129.4,86,3.179772052485394,4.975015806979396,1,79,6
4,Queso rallado,Lácteos,19.23,2099,259,4980.57,77,2.480605306005172,4.830665278154828,1,67,9
3,Queso cremoso,Lácteos,17.23,3167,268,4617.64,84,2.5668039459821856,4.478658710753761,0,66,18
9,Pollo,Carnicería,18.56,4051,246,4565.759999999999,71,2.356096159371708,4.428340190056195,0,61,10
29,Cerveza,Bebidas,11.54,2455,350,4038.9999999999995,98,3.3521693324394217,3.9174345624029674,0,88,10
24,Empanadas,Congelados,13.54,2908,277,3750.5799999999995,75,2.6530025859591992,3.6376954001132265,0,64,11
26,Hamburgesas congeladas,Congelados,9.54,1688,375,3577.4999999999995,105,3.5916099990422374,3.4698247454807167,0,86,19
10,Costilla de cerdo,Carnicería,14.25,2429,250,3562.5,68,2.3944066660281584,3.4552762140531255,1,53,14
16,Tortas,Panadería,15.23,3189,229,3487.67,69,2.193276506081793,3.3826984402713443,3,57,9
1,Leche,Lácteos,12.24,3327,276,3378.24,81,2.6434249592950865,3.276562053996584,0,69,12
30,Vino tinto,Bebidas,13.54,1363,241,3263.14,76,2.3082080260511444,3.1649263228421938,0,65,11
7,Chorizo,Carnicería,11.25,4068,286,3217.5,71,2.739201225936213,3.1206599912185067,0,58,13
13,Pan integral,Panadería,12.56,2228,256,3215.36,73,2.451872426012834,3.118584400734837,0,65,8
11,Salchicha,Carnicería,11.23,1726,254,2852.42,73,2.4327171726846086,2.766568134312818,0,59,14
14,Facturas,Panadería,12.36,3125,216,2669.7599999999998,70,2.0687673594483287,2.5894058176085535,0,62,8
23,Papas fritas,Congelados,8.23,3731,299,2460.77,92,2.8637103725696775,2.386705978738388,0,71,21
12,Pan francés,Panadería,8.12,1619,293,2379.16,82,2.806244612585002,2.3075522687513357,0,68,14
27,Agua mineral,Bebidas,6.21,4978,357,2216.97,93,3.41921271908821,2.150243847935258,0,85,8
28,Jugos de frutas,Bebidas,9.45,3637,228,2154.6,72,2.18369887941768,2.08975105425933,0,58,14
32,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,332,2075.0,91,3.179772052485394,2.012546847483575,0,76,15
33,Papas chips,Galletitas y Snacks,8.54,2837,229,1955.6599999999999,72,2.193276506081793,1.8967987314456518,0,64,8
38,Atún enlatado,Conservas,6.21,2182,313,1943.73,83,2.997797145867254,1.8852277994502404,0,72,11
17,Manzanas,Frutas y Verduras,6.54,3383,297,1942.38,88,2.844555119241452,1.8839184316217572,0,74,14
5,Manteca,Lácteos,5.65,4929,300,1695.0000000000002,80,2.87328799923379,1.6439840513179083,1,65,14
19,Tomates,Frutas y Verduras,6.54,4041,239,1563.0600000000002,75,2.2890527727229193,1.5160151688808081,0,55,20
31,Galletitas de agua,Galletitas y Snacks,5.24,2771,298,1561.52,87,2.8541327459055648,1.5145215196542419,1,64,22
18,Bananas,Frutas y Verduras,7.25,4720,214,1551.5,65,2.049612106120103,1.5048031006606102,0,55,10
34,Maníes,Galletitas y Snacks,5.45,4769,282,1536.9,73,2.700890719279762,1.4906425300710873,0,67,6
2,Yogur,Lácteos,5.21,3358,273,1422.33,82,2.6146920793027486,1.3795208470271385,1,64,17
35,Arroz,Conservas,4.25,1437,303,1287.75,88,2.9020208792261277,1.2489914230587822,0,74,14
20,Lechugas,Frutas y Verduras,4.25,1541,225,956.25,68,2.1549659994253423,0.9274688785089968,0,61,7
22,Cebolla,Frutas y Verduras,4.21,3545,224,943.04,71,2.1453883727612295,0.9146564718317639,1,56,14
37,Garbanzos,Conservas,3.65,1506,255,930.75,77,2.4422947993487214,0.9027363750820903,0,65,12
15,Medialunas,Panadería,3.51,4043,264,926.6399999999999,75,2.528493439325735,0.8987500774709299,0,66,9
21,Zanahorias,Frutas y Verduras,3.25,2800,266,864.5,78,2.5476486926539605,0.8384803612768917,0,67,11
36,Lentejas,Conservas,3.25,4578,216,702.0,61,2.0687673594483287,0.6808712708113106,0,50,11
