ID_Cliente,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segmento
1,18,11,287.77,3,4,3,343,Clientes con Potencial
2,46,3,103.28,2,1,1,211,Clientes en Riesgo
3,23,7,160.24,3,2,1,321,Clientes con Potencial
4,30,7,230.16,2,2,2,222,Clientes en Riesgo
5,20,7,164.48000000000002,3,2,1,321,Clientes con Potencial
6,64,9,184.61,1,3,1,131,Clientes Dormidos
7,23,8,301.91999999999996,3,2,3,323,Clientes con Potencial
8,58,9,286.51,2,3,3,233,Clientes en Riesgo
9,26,6,268.15,3,1,3,313,Clientes con Potencial
10,2,6,253.23999999999998,4,1,3,413,Clientes con Potencial
11,44,10,242.30999999999997,2,4,2,242,Clientes en Riesgo
12,26,8,197.15,3,2,2,322,Clientes con Potencial
13,55,8,409.95,2,2,4,224,Clientes en Riesgo
14,17,11,332.23,3,4,4,344,Clientes con Potencial
15,28,9,455.17999999999995,3,3,4,334,Clientes con Potencial
16,114,2,100.2,1,1,1,111,Clientes Dormidos
17,20,8,413.33,3,2,4,324,Clientes con Potencial
18,23,5,193.92,3,1,2,312,Clientes con Potencial
19,35,7,158.46,2,2,1,221,Clientes en Riesgo
20,46,11,318.19,2,4,3,243,Clientes en Riesgo
21,5,11,421.74,4,4,4,444,Campeones
22,58,7,293.86,2,2,3,223,Clientes en Riesgo
23,19,8,270.23,3,2,3,323,Clientes con Potencial
24,34,12,391.94,2,4,4,244,Clientes en Riesgo
25,3,12,412.3,4,4,4,444,Campeones
26,1,7,203.69,4,2,2,422,Clientes con Potencial
27,36,10,426.23,2,4,4,244,Clientes en Riesgo
28,247,5,192.92000000000002,1,1,2,112,Clientes Dormidos
29,51,7,274.83,2,2,3,223,Clientes en Riesgo
30,105,4,199.15,1,1,2,112,Clientes Dormidos
31,33,13,339.29,2,4,4,244,Clientes en Riesgo
32,102,7,196.04,1,2,2,122,Clientes Dormidos
33,138,5,223.79,1,1,2,112,Clientes Dormidos
34,16,10,279.45,3,4,3,343,Clientes con Potencial
35,91,6,313.71999999999997,1,1,3,113,Clientes Dormidos
36,6,10,268.97,4,4,3,443,Clientes Leales
37,68,7,182.79,1,2,1,121,Clientes Dormidos
38,93,8,287.63,1,2,3,123,Clientes Dormidos
39,30,7,225.68,2,2,2,222,Clientes en Riesgo
40,10,8,307.16999999999996,4,2,3,423,Clientes con Potencial
41,102,5,130.95,1,1,1,111,Clientes Dormidos
42,134,4,112.63,1,1,1,111,Clientes Dormidos
43,28,5,178.66,3,1,1,311,Clientes con Potencial
44,1,8,207.11,4,2,2,422,Clientes con Potencial
45,3,7,219.31,4,2,2,422,Clientes con Potencial
46,18,13,410.85,3,4,4,344,Clientes con Potencial
47,74,4,113.88,1,1,1,111,Clientes Dormidos
48,72,11,376.0,1,4,4,144,Clientes Dormidos
49,32,9,633.24,2,3,4,234,Clientes en Riesgo
50,76,13,482.9,1,4,4,144,Clientes Dormidos
51,139,4,57.47,1,1,1,111,Clientes Dormidos
52,36,8,383.79999999999995,2,2,4,224,Clientes en Riesgo
53,82,8,202.99,1,2,2,122,Clientes Dormidos
54,6,12,383.94,4,4,4,444,Campeones
55,59,10,296.12,1,4,3,143,Clientes Dormidos
56,26,11,291.95,3,4,3,343,Clientes con Potencial
57,139,6,133.06,1,1,1,111,Clientes Dormidos
58,15,9,388.59,3,3,4,334,Clientes con Potencial
59,89,7,139.95,1,2,1,121,Clientes Dormidos
60,63,9,396.96,1,3,4,134,Clientes Dormidos
61,76,8,269.40999999999997,1,2,3,123,Clientes Dormidos
62,82,7,274.94,1,2,3,123,Clientes Dormidos
63,45,10,279.45,2,4,3,243,Clientes en Riesgo
64,31,7,153.67000000000002,2,2,1,221,Clientes en Riesgo
65,9,5,145.57999999999998,4,1,1,411,Clientes con Potencial
66,25,9,473.93999999999994,3,3,4,334,Clientes con Potencial
67,10,6,131.88,4,1,1,411,Clientes con Potencial
68,41,9,448.28999999999996,2,3,4,234,Clientes en Riesgo
69,27,8,277.12,3,2,3,323,Clientes con Potencial
70,8,9,251.45,4,3,2,432,Clientes Leales
71,16,8,251.89,3,2,2,322,Clientes con Potencial
72,3,6,186.01999999999998,4,1,2,412,Clientes con Potencial
73,20,8,290.41999999999996,3,2,3,323,Clientes con Potencial
74,30,7,392.58,2,2,4,224,Clientes en Riesgo
75,26,9,233.02999999999997,3,3,2,332,Clientes con Potencial
76,18,8,268.9,3,2,3,323,Clientes con Potencial
77,81,8,183.69,1,2,1,121,Clientes Dormidos
78,11,12,558.78,4,4,4,444,Campeones
79,10,9,171.62,4,3,1,431,Clientes Leales
80,55,8,210.73,2,2,2,222,Clientes en Riesgo
81,9,10,534.49,4,4,4,444,Campeones
82,5,7,290.90999999999997,4,2,3,423,Clientes con Potencial
83,45,7,214.57,2,2,2,222,Clientes en Riesgo
84,45,5,81.17,2,1,1,211,Clientes en Riesgo
85,75,8,327.27,1,2,3,123,Clientes Dormidos
86,52,6,267.73,2,1,3,213,Clientes en Riesgo
87,2,9,300.32,4,3,3,433,Clientes Leales
88,30,6,167.98,2,1,1,211,Clientes en Riesgo
89,63,5,140.82,1,1,1,111,Clientes Dormidos
90,27,14,754.03,3,4,4,344,Clientes con Potencial
91,83,7,314.35,1,2,3,123,Clientes Dormidos
92,101,5,212.73999999999998,1,1,2,112,Clientes Dormidos
93,25,8,310.03999999999996,3,2,3,323,Clientes con Potencial
94,10,9,402.15,4,3,4,434,Clientes Leales
95,31,10,285.79,2,4,3,243,Clientes en Riesgo
96,21,4,105.42999999999999,3,1,1,311,Clientes con Potencial
97,8,11,639.16,4,4,4,444,Campeones
98,6,11,414.41999999999996,4,4,4,444,Campeones
99,44,8,156.47,2,2,1,221,Clientes en Riesgo
100,98,8,205.35,1,2,2,122,Clientes Dormidos
101,95,4,185.8,1,1,2,112,Clientes Dormidos
102,50,7,385.05999999999995,2,2,4,224,Clientes en Riesgo
103,9,7,321.25,4,2,3,423,Clientes con Potencial
104,30,8,362.65,2,2,4,224,Clientes en Riesgo
