,ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado,Semana,Mes,Dia_Semana,Trimestre,Nombre_producto,Categoría,Precio_Unitario,Stock,Venta_Total
0,919,2024-01-31,10,25,5,1,Completa,5,1,Wednesday,1,Pizza congelada,Congelados,15.45,1640,77.25
1,947,2024-01-31,106,5,1,4,Completa,5,1,Wednesday,1,Manteca,Lácteos,5.65,4929,5.65
2,1317,2024-01-31,235,25,3,3,Completa,5,1,Wednesday,1,Pizza congelada,Congelados,15.45,1640,46.349999999999994
3,1607,2024-01-31,114,15,5,1,Completa,5,1,Wednesday,1,Medialunas,Panadería,3.51,4043,17.549999999999997
4,2038,2024-01-31,132,2,5,4,Completa,5,1,Wednesday,1,Yogur,Lácteos,5.21,3358,26.05
5,2436,2024-01-31,282,3,3,1,Completa,5,1,Wednesday,1,Queso cremoso,Lácteos,17.23,3167,51.69
6,2578,2024-01-31,201,31,6,3,Completa,5,1,Wednesday,1,Galletitas de agua,Galletitas y Snacks,5.24,2771,31.44
7,448,2024-02-01,5,19,3,4,Pendiente,5,2,Thursday,1,Tomates,Frutas y Verduras,6.54,4041,19.62
8,492,2024-02-01,114,29,6,4,Completa,5,2,Thursday,1,Cerveza,Bebidas,11.54,2455,69.24
9,1099,2024-02-01,282,28,1,4,Completa,5,2,Thursday,1,Jugos de frutas,Bebidas,9.45,3637,9.45
10,1439,2024-02-01,130,18,2,2,Completa,5,2,Thursday,1,Bananas,Frutas y Verduras,7.25,4720,14.5
11,1565,2024-02-01,97,6,6,2,Completa,5,2,Thursday,1,Asado,Carnicería,28.56,5137,171.35999999999999
12,1776,2024-02-01,247,7,4,4,Completa,5,2,Thursday,1,Chorizo,Carnicería,11.25,4068,45.0
13,2190,2024-02-01,98,16,1,1,Pendiente,5,2,Thursday,1,Tortas,Panadería,15.23,3189,15.23
14,2755,2024-02-01,27,18,4,4,Completa,5,2,Thursday,1,Bananas,Frutas y Verduras,7.25,4720,29.0
15,43,2024-02-02,294,31,1,4,Completa,5,2,Friday,1,Galletitas de agua,Galletitas y Snacks,5.24,2771,5.24
16,272,2024-02-02,60,3,6,4,Completa,5,2,Friday,1,Queso cremoso,Lácteos,17.23,3167,103.38
17,349,2024-02-02,203,2,3,4,Completa,5,2,Friday,1,Yogur,Lácteos,5.21,3358,15.629999999999999
18,351,2024-02-02,45,8,4,3,Completa,5,2,Friday,1,Milanesa,Carnicería,16.21,3140,64.84
19,822,2024-02-02,1,32,4,5,Completa,5,2,Friday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,25.0
20,1078,2024-02-02,218,6,5,5,Completa,5,2,Friday,1,Asado,Carnicería,28.56,5137,142.79999999999998
21,1595,2024-02-02,129,31,6,1,Completa,5,2,Friday,1,Galletitas de agua,Galletitas y Snacks,5.24,2771,31.44
22,2746,2024-02-02,217,4,1,4,Completa,5,2,Friday,1,Queso rallado,Lácteos,19.23,2099,19.23
23,262,2024-02-03,156,33,3,4,Pendiente,5,2,Saturday,1,Papas chips,Galletitas y Snacks,8.54,2837,25.619999999999997
24,997,2024-02-03,245,12,3,5,Completa,5,2,Saturday,1,Pan francés,Panadería,8.12,1619,24.36
25,1221,2024-02-03,251,10,5,5,Pendiente,5,2,Saturday,1,Costilla de cerdo,Carnicería,14.25,2429,71.25
26,1931,2024-02-03,204,6,4,5,Completa,5,2,Saturday,1,Asado,Carnicería,28.56,5137,114.24
27,1967,2024-02-03,32,7,5,4,Completa,5,2,Saturday,1,Chorizo,Carnicería,11.25,4068,56.25
28,2328,2024-02-03,275,23,1,2,Completa,5,2,Saturday,1,Papas fritas,Congelados,8.23,3731,8.23
29,420,2024-02-04,259,32,1,2,Pendiente,5,2,Sunday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,6.25
30,546,2024-02-04,66,19,3,4,Completa,5,2,Sunday,1,Tomates,Frutas y Verduras,6.54,4041,19.62
31,680,2024-02-04,112,37,2,5,Completa,5,2,Sunday,1,Garbanzos,Conservas,3.65,1506,7.3
32,2263,2024-02-04,48,27,1,5,Completa,5,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,6.21
33,2752,2024-02-04,125,35,3,4,Completa,5,2,Sunday,1,Arroz,Conservas,4.25,1437,12.75
34,2889,2024-02-04,48,24,2,3,Pendiente,5,2,Sunday,1,Empanadas,Congelados,13.54,2908,27.08
35,2896,2024-02-04,106,21,1,2,Completa,5,2,Sunday,1,Zanahorias,Frutas y Verduras,3.25,2800,3.25
37,277,2024-02-05,159,4,6,4,Completa,6,2,Monday,1,Queso rallado,Lácteos,19.23,2099,115.38
38,497,2024-02-05,169,5,6,3,Completa,6,2,Monday,1,Manteca,Lácteos,5.65,4929,33.900000000000006
39,503,2024-02-05,169,5,5,1,Completa,6,2,Monday,1,Manteca,Lácteos,5.65,4929,28.25
40,1198,2024-02-05,102,13,2,1,Completa,6,2,Monday,1,Pan integral,Panadería,12.56,2228,25.12
41,1449,2024-02-05,172,29,6,2,Completa,6,2,Monday,1,Cerveza,Bebidas,11.54,2455,69.24
42,1759,2024-02-05,255,23,5,5,Pendiente,6,2,Monday,1,Papas fritas,Congelados,8.23,3731,41.150000000000006
43,2873,2024-02-05,230,13,2,2,Completa,6,2,Monday,1,Pan integral,Panadería,12.56,2228,25.12
44,484,2024-02-06,168,35,1,2,Completa,6,2,Tuesday,1,Arroz,Conservas,4.25,1437,4.25
45,593,2024-02-06,258,11,4,5,Completa,6,2,Tuesday,1,Salchicha,Carnicería,11.23,1726,44.92
46,809,2024-02-06,159,19,6,5,Pendiente,6,2,Tuesday,1,Tomates,Frutas y Verduras,6.54,4041,39.24
47,1656,2024-02-06,283,1,3,4,Completa,6,2,Tuesday,1,Leche,Lácteos,12.24,3327,36.72
48,1735,2024-02-06,130,8,6,5,Completa,6,2,Tuesday,1,Milanesa,Carnicería,16.21,3140,97.26
49,2126,2024-02-06,181,3,3,4,Pendiente,6,2,Tuesday,1,Queso cremoso,Lácteos,17.23,3167,51.69
50,2540,2024-02-06,75,28,6,1,Pendiente,6,2,Tuesday,1,Jugos de frutas,Bebidas,9.45,3637,56.699999999999996
51,2680,2024-02-06,155,18,2,4,Completa,6,2,Tuesday,1,Bananas,Frutas y Verduras,7.25,4720,14.5
52,116,2024-02-07,71,35,4,3,Completa,6,2,Wednesday,1,Arroz,Conservas,4.25,1437,17.0
53,215,2024-02-07,64,31,2,4,Pendiente,6,2,Wednesday,1,Galletitas de agua,Galletitas y Snacks,5.24,2771,10.48
54,441,2024-02-07,21,7,6,3,Completa,6,2,Wednesday,1,Chorizo,Carnicería,11.25,4068,67.5
55,471,2024-02-07,108,12,6,5,Pendiente,6,2,Wednesday,1,Pan francés,Panadería,8.12,1619,48.72
56,1136,2024-02-07,187,23,3,3,Completa,6,2,Wednesday,1,Papas fritas,Congelados,8.23,3731,24.69
57,1753,2024-02-07,35,17,2,4,Pendiente,6,2,Wednesday,1,Manzanas,Frutas y Verduras,6.54,3383,13.08
58,2127,2024-02-07,180,6,3,3,Completa,6,2,Wednesday,1,Asado,Carnicería,28.56,5137,85.67999999999999
59,2209,2024-02-07,151,3,2,1,Completa,6,2,Wednesday,1,Queso cremoso,Lácteos,17.23,3167,34.46
60,2935,2024-02-07,164,25,3,4,Completa,6,2,Wednesday,1,Pizza congelada,Congelados,15.45,1640,46.349999999999994
61,734,2024-02-08,212,36,5,2,Completa,6,2,Thursday,1,Lentejas,Conservas,3.25,4578,16.25
62,2043,2024-02-08,318,27,2,5,Completa,6,2,Thursday,1,Agua mineral,Bebidas,6.21,4978,12.42
63,2335,2024-02-08,56,38,2,5,Completa,6,2,Thursday,1,Atún enlatado,Conservas,6.21,2182,12.42
